validation,feature_set,R2_mean,R2_std,RMSE_mean,MAE_mean,train_R2_mean,OOF_R2,OOF_RMSE,OOF_MAE,R2_generalisation_gap
random_5fold,Tabular,0.6556971765982311,0.0674132092002995,127.83788595977173,72.25902465972658,0.9565433586714088,0.6512704737630377,129.09303814921478,72.25345970839356,0.3008461820731777
random_5fold,Tabular + CNN,0.6625724288498548,0.0489373350297481,126.53439373904186,71.03348284246883,0.9539538483254127,0.6605720789577406,127.35976352851682,71.03100114965164,0.29138141947555796
spatial_kmeans_leave_one_out,Tabular,0.1683558934116544,0.4038391453971103,143.048331114699,91.92792712716027,0.8617427838972007,0.402956491542496,168.91236875060227,93.4408893916522,0.6933868904855462
spatial_kmeans_leave_one_out,Tabular + CNN,0.1356547886462477,0.3940568881255014,145.23386954008774,93.7250004006208,0.9298224423924732,0.391840422110314,170.47756650339994,95.23339666373576,0.7941676537462256
