fold,spatial_block,n_grids,observed_mean,observed_std,predicted_mean,R2,RMSE,MAE,mean_residual
1,0,436,208.0245956507971,90.22131167560069,247.5421272018349,-0.4143175690780627,107.1726547800687,70.17729722391174,-39.51753208094611
2,1,632,291.0856371223894,145.96779221638462,286.13420416139235,0.36368482930301316,116.34542719456043,77.39378428640082,4.951432897694343
3,2,491,215.40409930094182,86.58867986523296,217.79218327902242,0.49726591980032864,61.33206338529169,42.559265790845664,-2.3880836524983855
4,3,538,466.1505924962906,327.08171614186347,353.3877860966543,0.2267903975679838,287.3431789762765,177.58136059617541,112.76280662372832
