Class,Observed grids,Predicted grids,Overlap grids,Jaccard,Observed recovery,Predicted confirmation
Hot spot,211,250,194,0.7265917602996255,0.919431279620853,0.776
Cold spot,335,386,201,0.38653846153846155,0.6,0.5207253886010362
