Class,Jaccard_Random OOF,Jaccard_Spatial OOF,Observed recovery_Random OOF,Observed recovery_Spatial OOF,Predicted confirmation_Random OOF,Predicted confirmation_Spatial OOF,Jaccard_Spatial_minus_Random,Observed recovery_Spatial_minus_Random,Predicted confirmation_Spatial_minus_Random
Cold spot,0.38653846153846155,0.2871452420701169,0.6,0.5134328358208955,0.5207253886010362,0.3944954128440367,-0.09939321946834467,-0.08656716417910448,-0.1262299757569995
Hot spot,0.7265917602996255,0.46174142480211083,0.919431279620853,0.8293838862559242,0.776,0.5102040816326531,-0.26485033549751463,-0.09004739336492884,-0.26579591836734695
