validation,n_outer_folds,selected_variance_mean,selected_variance_min,selected_variance_max,components_mean,components_min,components_max
random_5fold,5,0.71,0.7,0.75,39.8,36.0,54.0
spatial_kmeans_leave_one_out,4,0.8,0.7,0.9,99.0,35.0,192.0
