validation,cnn_source,delta_R2_mean,delta_OOF_R2,delta_RMSE_mean,delta_OOF_RMSE,delta_MAE_mean,delta_OOF_MAE
random_5fold,ImageNet ResNet50,0.006875252251623665,0.009301605194702911,-1.3034922207298507,-1.733274620697955,-1.2255418172577492,-1.2224585587419199
spatial_kmeans_leave_one_out,ImageNet ResNet50,-0.03270110476540675,-0.011116069432182019,2.185538425388728,1.5651977527976726,1.7970732734605406,1.7925072720835544
