validation,feature_set,cnn_source,n_folds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,train_R2_mean,PCA_components_mean,OOF_R2,OOF_RMSE,OOF_MAE
random_5fold,Tabular,None,5,0.6556971765982311,0.06741320920029953,127.83788595977171,20.212161037394704,72.25902465972658,5.76691337513184,0.9565433586714089,,0.6512704737630377,129.09303814921478,72.25345970839356
random_5fold,Tabular + CNN,ImageNet ResNet50,5,0.6625724288498548,0.04893733502974812,126.53439373904186,16.299656086254913,71.03348284246883,4.374905501745464,0.9539538483254129,39.8,0.6605720789577406,127.35976352851682,71.03100114965164
spatial_kmeans_leave_one_out,Tabular,None,4,0.16835589341165444,0.4038391453971103,143.048331114699,99.16091438538871,91.92792712716027,59.04265873092532,0.8617427838972007,,0.402956491542496,168.91236875060227,93.44088939165219
spatial_kmeans_leave_one_out,Tabular + CNN,ImageNet ResNet50,4,0.1356547886462477,0.39405688812550144,145.23386954008774,98.46500925144392,93.72500040062081,59.09783700301385,0.9298224423924731,99.0,0.391840422110314,170.47756650339994,95.23339666373575
