Validation,N folds,N predictions,Fold R²,Mean R²,R² SD,Mean Train R²,Generalisation Gap,OOF R²,OOF RMSE,OOF MAE
Random 5-fold CV,5,2097,"0.689, 0.707, 0.544, 0.699, 0.640",0.6556971765982311,0.060296207341313586,0.9565433586714092,0.30084618207317804,0.6512704737630377,129.09303814921478,72.25345970839356
Spatial KMeans CV,4,2097,"-0.414, 0.364, 0.497, 0.227",0.16835589341165444,0.3497349589564951,0.8617427838972008,0.6933868904855464,0.402956491542496,168.91236875060227,93.44088939165219
