validation,pretraining,delta_R2_mean_vs_ImageNet,delta_OOF_R2_vs_ImageNet,delta_OOF_RMSE_vs_ImageNet,delta_OOF_MAE_vs_ImageNet
random_5fold,Satlas,-0.016824306667689193,-0.021252753134840874,3.9266844273535924,0.05332098883980052
random_5fold,SSL4EO-S12,-0.00800122037788742,-0.010160435056438932,1.8921381114021756,0.3558415599336655
spatial_kmeans_leave_one_out,Satlas,-0.0018204800829229595,-0.07565952907701412,10.293565538277335,3.72667232148639
spatial_kmeans_leave_one_out,SSL4EO-S12,0.03394973348105787,-0.06434173864505999,8.791365594089314,2.3926266011683595
