,R2,R2,RMSE,RMSE,MAE,MAE,train_R2,train_R2
feature_set,Tabular,Tabular + CNN,Tabular,Tabular + CNN,Tabular,Tabular + CNN,Tabular,Tabular + CNN
fold,,,,,,,,
1,-0.4143175771299761,-0.44209098818371495,107.17265508514338,108.21983116623865,70.17729761208412,71.46095479764978,0.8630372600815469,0.8962596356927959
2,0.3636848302951967,0.34832892420274375,116.34542710385381,117.74091390725914,77.3937842609167,78.83385601036977,0.9111626906720642,0.9998191753521168
3,0.49726592369958056,0.41864799086057003,61.332063147443115,65.95352334638935,42.55926569038005,44.96027944460932,0.8213056495147629,0.8647289929886036
4,0.22679039678181656,0.21773322770539194,287.3431791223557,289.0212097404638,177.5813609452602,179.64491134985442,0.8514655353204289,0.9584819655363762
