feature,pearson_r,spearman_rho,abs_spearman_rho
building_area_mean,0.3513424741624892,0.5611703410434599,0.5611703410434599
NTL_mean,0.36779538193968986,0.4940343841001642,0.4940343841001642
NTL_max,0.36574289568333845,0.493496814568333,0.493496814568333
B02_max,0.34724815288570726,0.4450451464831615,0.4450451464831615
NDBI,-0.43490381678464246,-0.4374044182677373,0.4374044182677373
B02_std,0.37337407047211135,0.42359052044923723,0.42359052044923723
B03_max,0.3358336099230831,0.4204096922230347,0.4204096922230347
pop_density_km2,0.29401456053232466,0.4156911350434686,0.4156911350434686
pop_total,0.2818345937568238,0.4085263837231002,0.4085263837231002
B04_max,0.3177622005278201,0.40343172140135414,0.40343172140135414
B03_std,0.35610432831015804,0.4013918874472662,0.4013918874472662
poi_total_count,0.08163509636744892,0.3937717030436764,0.3937717030436764
poi_social_count,0.13581884485811802,0.393427992493064,0.393427992493064
B08_max,0.3064696668535915,0.36680725472137227,0.36680725472137227
B04_std,0.3278886326569294,0.354199484152355,0.354199484152355
dist_social_poi,-0.21576973362091784,-0.35258684733733275,0.35258684733733275
building_area_std,0.041708617661301045,0.3520951712992982,0.3520951712992982
building_count,-0.36102646002730443,-0.3349231310213094,0.3349231310213094
poi_economic_count,0.06563945793631694,0.3279605295176803,0.3279605295176803
dist_economic_poi,-0.22164583927531906,-0.3251883244920735,0.3251883244920735
B08_std,0.25625044587778223,0.32176283407363676,0.32176283407363676
poi_shannon,0.17846309669716606,0.2943930783614857,0.2943930783614857
road_length_major,0.18485704140511436,0.29316209339525034,0.29316209339525034
dist_major_road,-0.2156169670348882,-0.28560622045619466,0.28560622045619466
major_road_ratio,0.2135936401683634,0.2830129532380527,0.2830129532380527
poi_other_count,0.017833596183972997,0.25416438746753295,0.25416438746753295
NDVI,0.24700168250110788,0.2498146951044049,0.2498146951044049
B08_mean,0.19372255093932353,0.18713393248665328,0.18713393248665328
B02_mean,0.04143392856281194,0.15414313041714722,0.15414313041714722
B11_mean,-0.10515837606418957,-0.15280511309401576,0.15280511309401576
B11_max,-0.15559459018261432,-0.13711293594587126,0.13711293594587126
brightness,0.05822972650947404,0.11730823127493757,0.11730823127493757
B03_mean,-0.010405651646764096,0.058545504361154105,0.058545504361154105
B11_std,-0.0729574957187672,-0.04973477495875552,0.04973477495875552
building_coverage,-0.15784780956715783,-0.04460806127008507,0.04460806127008507
building_area_total,-0.1593433423094682,-0.04264829058202069,0.04264829058202069
area_m2,-0.13737916314793652,-0.034883243601608584,0.034883243601608584
road_count,-0.13826573461807792,-0.03439568308979263,0.03439568308979263
road_length_total,-0.12379868512122011,-0.026751771710885667,0.026751771710885667
B04_mean,-0.06945158664898445,-0.018637643331801828,0.018637643331801828
road_density,-0.10187935405809528,-0.0180149289870133,0.0180149289870133
NTL_std,0.030194954180419727,0.0030273784302971164,0.0030273784302971164
