statistic,value
count,2097.0
mean,301.00966994986385
std,218.65632171940285
skewness,2.725743165573604
minimum,1.2222222
p01,56.22153872
p02,78.98334497866666
p05,114.17564807409782
p25,178.18167287650002
median,227.81647109240603
p75,337.27438202999997
p90,572.8688357235716
p95,781.7877814649198
p98,978.2964251016544
p99,1070.0591829716482
maximum,2605.0725
