feature,missing_pct,zero_pct,mean,std,median,skewness,unique_n
area_m2,0.0,0.0,247888.192401845,17568.34978213471,250000.0,-9.362960053229413,53
B02_mean,0.0,0.0,2270.8813350326645,226.03001824629072,2281.1244,-0.05166463565924781,2096
B02_std,0.0,0.0,448.214849820523,167.22910319773095,451.17244310369847,0.6260435216173276,2097
B02_max,0.0,0.0,4480.518836433,1235.253153332437,4372.0,5.2821892116258224,1103
B03_mean,0.0,0.0,2710.4029161000954,247.57342552384767,2725.988,0.04266191674803599,2097
B03_std,0.0,0.0,499.70799253755223,173.72469464578472,506.0429585677485,0.4360144076900726,2097
B03_max,0.0,0.0,4996.881258941345,1122.5094109148072,4906.0,3.6239347224678964,1088
B04_mean,0.0,0.0,3046.9496556310723,294.02664867539255,3070.4592,-0.22367584562720189,2097
B04_std,0.0,0.0,573.9875672619479,193.69023036564028,580.713415664009,0.23782867147074116,2097
B04_max,0.0,0.0,5373.865999046257,1019.4334209196053,5312.0,2.47377191773924,1014
B08_mean,0.0,0.0,3788.960808683234,360.1512478098796,3818.7064,-0.3244105618651866,2097
B08_std,0.0,0.0,489.50769376209996,149.46259957779554,484.6589406221245,0.8182220781834562,2097
B08_max,0.0,0.0,5806.197424892704,923.2295591180145,5804.0,0.7765624287607092,864
B11_mean,0.0,0.0,3971.3399803621023,364.1685002957568,3950.136,-0.13521616935556185,2095
B11_std,0.0,0.0,376.3140368114589,146.92569556887656,350.09603719756666,1.0176693710482845,2097
B11_max,0.0,0.0,5255.838340486409,676.3380356397013,5204.0,1.9611135190558306,1398
NDVI,0.0,0.0,0.1082397290165459,0.051564953156026126,0.0981728021144649,1.5368790320855343,2097
NDBI,0.0,0.0,0.02366629382087187,0.03266989895046414,0.0271868088626728,-0.5119265486545105,2097
NTL_mean,0.5245588936576061,0.0,39.4506809187606,19.619108117347686,36.53870964050293,0.6509048527925773,2086
NTL_max,0.5245588936576061,0.0,40.113767811344545,19.868753418988124,37.32093811035156,0.6680702824863382,2086
dist_major_road,0.0,0.0,317.3202421252018,315.77852434780067,214.39191540401933,1.7038616791833996,2097
road_count,0.0,0.0,50.637577491654746,25.740303878295105,47.0,1.3222620439044055,141
road_length_major,0.0,36.671435383881736,758.0430455289263,867.2932112447002,553.1795655898728,1.5139037024916253,1329
road_density,0.0,0.0,26.855740330252438,10.49584822842401,26.310146364845412,0.1947494958309502,2097
major_road_ratio,0.0,36.671435383881736,0.1250097170512491,0.1491190501794505,0.0831056677567733,1.445881432762854,1329
poi_economic_count,0.0,39.294229852169764,12.680019074868861,29.703804123191848,1.0,4.846688332576499,133
poi_social_count,0.0,27.849308536003814,6.464949928469242,9.74120453299765,3.0,2.609502459336181,58
poi_other_count,0.0,62.374821173104436,1.804005722460658,5.733191760557641,0.0,10.31951670508578,39
poi_shannon,0.0,42.34620886981402,0.4228947635013094,0.3887684051604086,0.5297061990576545,0.05350723604440427,638
dist_economic_poi,0.0,0.0,316.9659682463997,318.989795247833,209.4080228616156,2.1223315533487117,2097
dist_social_poi,0.0,0.0,237.11461044569515,250.5804562380966,152.4735136200907,2.406249354382219,2097
pop_density_km2,0.0,0.09537434430138292,25087.612707775457,19831.02338923633,21143.357421875,0.7841637011031477,2096
building_count,0.0,0.04768717215069146,1001.6623748211731,664.620685799819,833.0,0.7921631552357469,1345
building_area_mean,0.0,0.04768717215069146,113.85548498378668,64.90131085761223,97.26236561643836,2.3456118737108107,2097
building_area_std,0.0,0.04768717215069146,166.23272661793794,198.26034126816552,111.29778793914488,5.1659226060254335,2097
building_coverage,0.0,0.04768717215069146,0.35892139323065797,0.15192786760203195,0.3746110791999985,-0.27038417818850013,2097
