grid_size_m,model_average_R2_random_5fold,model_average_R2_spatial_kmeans_leave_one_out,model_average_RMSE_random_5fold,model_average_RMSE_spatial_kmeans_leave_one_out,model_average_MAE_random_5fold,model_average_MAE_spatial_kmeans_leave_one_out,model_average_R2_std_random_5fold,model_average_R2_std_spatial_kmeans_leave_one_out,model_average_train_R2_random_5fold,model_average_train_R2_spatial_kmeans_leave_one_out,all_boundary_grid_count,labelled_grid_count,labelled_grid_pct,all_edge_cell_pct,labelled_edge_cell_pct,elec_points_total,elec_points_mean,elec_points_median,elec_points_p10,elec_points_p25,elec_points_min,elec_points_max,elec_points_lt5_pct,elec_points_lt10_pct,poi_total_mean,poi_total_median,poi_total_zero_pct,poi_density_km2_mean,poi_density_km2_median,poi_economic_zero_pct,poi_social_zero_pct,poi_other_zero_pct,population_zero_pct,building_zero_pct,road_zero_pct,road_density_mean,building_coverage_mean,population_density_mean,target_mean,target_std,target_cv,target_min,target_q25,target_median,target_q75,target_iqr,target_max
250,0.5707373092788017,-0.12287682542640023,147.72245483119966,166.79278467288304,89.0817714833156,112.44051174160792,0.024422874452080665,0.4411447996130678,0.7826543707668154,0.7817700903022039,58415,6901,11.813746469228793,3.588119489857057,0.6665700623098102,192832.0,27.94261701202724,26.0,3.0,10.0,1.0,88.0,14.765975945515141,24.721054919576872,2.593682075061585,1.0,49.760904216780176,41.59216337709082,16.0,72.00405738298798,57.84668888566874,91.62440226054194,0.1738878423416896,0.0434719605854224,1.8837849587016373,24.3716151211297,0.3989038464144292,27715.633033596783,308.394521884692,226.85622363212272,0.7356039343556944,0.04166667,179.71400471354838,231.70332686666666,342.5721160107576,162.85811129720923,2605.0725
500,0.5397912852405078,-0.07380004988523181,147.29041124935486,158.39771419701827,83.74180517053247,107.43646799380288,0.08412097838664802,0.46278231502180284,0.8083109450384612,0.805252628646279,14868,2097,14.104116222760291,6.900726392251816,2.28898426323319,192832.0,91.95612780162136,84.0,5.0,21.0,1.0,278.0,9.012875536480687,15.498330948974726,8.8345255126371,3.0,29.375298044825943,35.53850461546473,12.0,49.976156413924656,36.62374821173104,79.06533142584645,0.09537434430138292,0.04768717215069146,0.6676204101096805,21.791595271468896,0.358921393230658,25087.612707775457,301.00966994986385,218.60417999415463,0.7262364030715868,1.2222222,178.18167287650002,227.81647109240603,337.27438202999997,159.09270915349995,2605.0725
750,0.584971269867058,-0.3568338022446958,126.74732587807473,156.6994761968891,79.27842690422041,107.31088143009146,0.08323176820111598,0.6288725545618417,0.8276224568266244,0.8276586928421837,6705,1050,15.659955257270694,10.096942580164056,3.9047619047619047,192832.0,183.6495238095238,150.0,8.0,44.0,1.0,565.0,6.190476190476191,11.333333333333332,17.900952380952383,6.0,19.904761904761905,32.11905763848072,10.666666666666666,37.714285714285715,26.571428571428573,69.52380952380952,0.0,0.09523809523809523,0.6666666666666667,20.184036129129748,0.3321007064629022,23296.07668656329,291.5106468057785,199.228823852924,0.6834358402890922,5.22,173.3050786784435,224.8730526661452,328.24343655519715,154.93835787675366,1544.3846
1000,0.5526993515067579,-0.4964919214719048,133.2583218547394,167.36711920772805,77.99052440772732,107.33625841045368,0.14581571412702368,0.8044196805925307,0.8121029036210811,0.8113740201953141,3840,648,16.875,12.708333333333332,5.555555555555555,192832.0,297.58024691358025,219.0,11.0,51.75,1.0,962.0,6.172839506172839,9.5679012345679,29.291666666666668,10.0,14.814814814814813,29.602928465162474,10.0,29.32098765432099,20.833333333333336,61.111111111111114,0.0,0.0,0.4629629629629629,18.90465976111782,0.31112754405067533,21993.07974881233,289.27696615673403,205.65084556763514,0.7109133101742046,1.2222222,175.43338647123966,225.87479569780086,319.1789970962937,143.74561062505404,2605.0725
