validation,feature_set,target_mode,fold,spatial_block,n_train,n_test,n_features,R2,RMSE,MAE,train_R2,inner_best_R2_fit_scale,best_params,cnn_source,selected_pca_variance,n_pca_components
spatial_kmeans_leave_one_out,Remote sensing only,raw,1,0.0,1661.0,436.0,19,-0.9335044708665312,125.30924430677017,90.79253934316645,0.754617887272051,0.059173002525794084,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 3, ""subsample"": 0.9}",,,
spatial_kmeans_leave_one_out,Remote sensing only,raw,2,1.0,1465.0,632.0,19,0.05440369447232518,141.8293338727751,98.03738728039959,0.8674563520645473,-0.5281789161759082,"{""colsample_bytree"": 0.5, ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 20, ""subsample"": 0.6}",,,
spatial_kmeans_leave_one_out,Remote sensing only,raw,3,2.0,1606.0,491.0,19,0.2704917425961405,73.88112815233198,50.187736500943586,0.7152876991101571,-0.34201353803673246,"{""colsample_bytree"": 0.5, ""gamma"": 0.05, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 20, ""subsample"": 0.75}",,,
spatial_kmeans_leave_one_out,Remote sensing only,raw,4,3.0,1559.0,538.0,19,0.024750162419633348,322.70835987244453,206.2046657970337,0.5725104979516524,0.009585001283424063,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 10, ""subsample"": 0.6}",,,
spatial_kmeans_leave_one_out,Urban spatial only,raw,1,0.0,1661.0,436.0,17,-0.5656394044286912,112.76034402836059,64.23557253033839,0.7719967131324954,0.17966487624775881,"{""colsample_bytree"": 1.0, ""gamma"": 0, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 5, ""subsample"": 0.75}",,,
spatial_kmeans_leave_one_out,Urban spatial only,raw,2,1.0,1465.0,632.0,17,0.15456178424927203,134.10782446167948,89.13257318242013,0.8723789084257932,-0.020422453460690493,"{""colsample_bytree"": 0.5, ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 20, ""subsample"": 0.6}",,,
spatial_kmeans_leave_one_out,Urban spatial only,raw,3,2.0,1606.0,491.0,17,0.3848952217885666,67.8411127478194,46.1599489482604,0.7537049109078737,0.007126526880444202,"{""colsample_bytree"": 0.5, ""gamma"": 0.05, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 20, ""subsample"": 0.75}",,,
spatial_kmeans_leave_one_out,Urban spatial only,raw,4,3.0,1559.0,538.0,17,0.10435681779041495,309.2571753961538,196.510018502309,0.5631795779252808,0.24280267691198287,"{""colsample_bytree"": 1.0, ""gamma"": 0.25, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 20, ""subsample"": 0.75}",,,
spatial_kmeans_leave_one_out,All engineered features,raw,1,,,,36,-0.4143175771299761,107.17265508514338,70.17729761208412,0.8630372600815469,0.3318149029367008,"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0, ""model__learning_rate"": 0.01, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 3, ""model__subsample"": 0.9}",,,
spatial_kmeans_leave_one_out,All engineered features,raw,2,,,,36,0.3636848302951967,116.3454271038538,77.3937842609167,0.9111626906720642,-0.1097828082596702,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 20, ""model__subsample"": 0.6}",,,
spatial_kmeans_leave_one_out,All engineered features,raw,3,,,,36,0.4972659236995805,61.332063147443115,42.55926569038005,0.8213056495147629,0.0632883550693377,"{""model__colsample_bytree"": 0.5, ""model__gamma"": 0.05, ""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 800, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 20, ""model__subsample"": 0.75}",,,
spatial_kmeans_leave_one_out,All engineered features,raw,4,,,,36,0.2267903967818165,287.3431791223557,177.5813609452602,0.8514655353204289,0.2022856346009208,"{""model__colsample_bytree"": 0.9, ""model__gamma"": 0.05, ""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 1200, ""model__reg_alpha"": 1, ""model__reg_lambda"": 10, ""model__subsample"": 0.6}",,,
