validation,feature_set,n_folds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,train_R2_mean,n_predictions,OOF_R2,OOF_RMSE,OOF_MAE,R2_generalisation_gap
random_5fold,Remote sensing only,5,0.5277303912078736,0.06924999871999375,149.73451716838977,19.807618941855605,86.63435046098216,5.210607933253784,0.7909891457213597,2097,0.524372075495616,150.76208472448855,86.62973325736807,0.2632587545134861
random_5fold,Urban spatial only,5,0.5900579795270307,0.07429770583404989,139.63812495147462,21.837632977125935,80.79847526228343,5.547246438897106,0.8571540132717086,2097,0.5840913516483368,140.9799776967704,80.79347389408301,0.26709603374467794
random_5fold,All engineered features,5,0.6556971765982311,0.06741320920029951,127.83788595977171,20.212161037394697,72.25902465972658,5.766913375131837,0.9565433586714089,2097,0.6512704731140695,129.09303826933265,72.25345963258353,0.3008461820731778
spatial_kmeans_leave_one_out,Remote sensing only,4,-0.14596471784460804,0.5363288534194641,165.93201655108044,108.44866192093113,111.30558223038582,66.67847492287463,0.727468109099602,2097,0.21897731510790674,193.19251048327172,113.07842858159302,0.8734328269442101
spatial_kmeans_leave_one_out,Urban spatial only,4,0.019543604849890595,0.408796668367727,155.9916141585033,105.8437309260011,99.00952829083198,67.34539298673035,0.7403150275978608,2097,0.2952443333525725,183.51761235604,101.44273760722706,0.7207714227479702
spatial_kmeans_leave_one_out,All engineered features,4,0.1683558934116544,0.4038391453971103,143.048331114699,99.16091438538871,91.92792712716027,59.04265873092532,0.8617427838972007,2097,0.40295649200163797,168.91236868565326,93.44088925258866,0.6933868904855462
